grupo,codigo,indicador,fuente_num,celda_num,desc_num,fuente_den,celda_den,desc_den,meta_umbral,tipo,periodicidad
MMSS,I,Recuperación DSM 12-23m,REM A03,(J23+K23+L23+M23)-(J37+K37+L37+M37+J40+K40+L40+M40),Niños 12-23m con riesgo DSM recuperados ene-dic,REM A03,J26+K26+L26+M26+J28+K28+L28+M28,Niños 12-23m diagnosticados con riesgo DSM en 1a evaluación oct-sep año anterior,90%,Porcentaje,Ingreso mensual
MMSS,II,Detección precoz cáncer cervicouterino,REM,Por definir,Mujeres con PAP vigente,FONASA,Por definir,Mujeres beneficiarias grupo objetivo,Por definir,Porcentaje,Semestral
MMSS,IIIA,Control odontológico 0-9,REM A03 Sección D7,F208;Y208,Niños 0-9a en control con enfoque riesgo odontológico y pauta 0 aplicada,FONASA,Inscritos 0-9a,Niños inscritos validados de 0 a 9 años,48%,Porcentaje,Anual
MMSS,IIIB,6 años libres de caries,REM A09,SUMA(S51:T51),Niños de 6 años con ceod igual a 0 ene-dic,FONASA,Inscritos 6a,Niños inscritos validados de 6 años,22%,Porcentaje,Anual
MMSS,IVA,Cobertura efectiva DM2,REM P4,C31+C32,DM2 15-79a con HbA1c menor 7% + DM2 80+ con HbA1c menor 8%,FONASA prevalencia,15-24×1.80% + 25-44×6.30% + 45-64×18.30% + 65+×30.60%,Personas 15+ con DM2 estimadas según prevalencia,27%,Porcentaje,Semestral
MMSS,IVB,Evaluación pies DM2,REM P4,SUMA(C62:C65),DM2 15+ con evaluación de pie vigente últimos 12 meses,REM P4,C17,DM2 15+ bajo control últimos 12 meses,80%,Porcentaje,Semestral
MMSS,V,Cobertura efectiva HTA,REM P4,C29+C30,HTA 15-79a con PA menor 140/90 + HTA 80+ con PA menor 150/90,FONASA prevalencia,15-24×0.70% + 25-44×10.6% + 45-64×45.1% + 65+×73.3%,Personas 15+ con HTA estimadas según prevalencia,36%,Porcentaje,Semestral
MMSS,VI,LME 6º mes,REM A03,H61,Niños controlados ene-dic que al 6º mes recibieron LME,REM A03,H67,Niños con control de salud del 6º mes realizado ene-dic,60%,Porcentaje,Ingreso mensual
MMSS,VII,Cobertura Asma+EPOC,REM P3,SUMA(H65:AM65)+C69,EPOC 40+ con control adecuado + Asma 5+ con control controlado,FONASA prevalencia,40+×11.7% (EPOC) + 5+×10.0% (Asma),Personas con Asma/EPOC esperadas según prevalencia,20.33%,Porcentaje,Semestral
IAAPS,M3,Tasa consultas médicas morbilidad,REM A04+A07+A08+A23+A32,A04-B12 + A07-Z126:AA126 + A08-B41 + A23-B58 + A32-B28:B29,Consultas de morbilidad realizadas por profesional médico,FONASA,Inscritos validados,Población total inscrita validada FONASA,0.80,Tasa,Anual
IAAPS,M4,Resolutividad APS,REM A07,AE126+AF126,SIC de controles y consultas médicas generadas en APS,REM múltiple,A01 C11:C63 + A04-B12 + A06-C12 + A07 + A08 + A23 + A32,Total controles y consultas médicas realizadas en APS,10% (inverso),Porcentaje,Ingreso mensual
IAAPS,M5,Visita Domiciliaria Integral,REM A26+A33,A26-C10:C35 + A26-C41:F41 + A33-C39-C40,Visitas domiciliarias integrales realizadas,FONASA,Inscritos / 3.3,Número de familias (población inscrita dividido 3.3),0.22,Tasa,Anual
IAAPS,M61A,EMP Mujeres 20-64,REM A02,SUMA(H21;J21;L21;N21;P21;R21;T21;V21;X21),EMP realizado en mujeres 20-64a (columnas pares),FONASA - PSMujer,Mujeres 20-64 inscritas menos control Programa Salud Mujer,Mujeres 20-64a inscritas validadas menos población en control,22.60%,Porcentaje,Anual
IAAPS,M61B,EMP Hombres 20-64,REM A02,SUMA(G21;I21;K21;M21;O21;Q21;S21;U21;W21),EMP realizado en hombres 20-64a (columnas impares),FONASA,Inscritos hombres 20-64a,Población hombres 20-64a inscrita validada,19.60%,Porcentaje,Anual
