meta,indicador,tipo,corte,mes,anio,valor_corte,global,comuna,meta_umbral,numerador,denominador,brecha,estado,nota
I,Recuperación DSM 12-23m,mensual,1,marzo,2026,12.3,,,90,1,9,,critico,
I,Recuperación DSM 12-23m,mensual,2,abril,2026,24.7,22.2,37.0,90,2,9,7,critico,
I,Recuperación DSM 12-23m,mensual,3,mayo,2026,22.2,20.0,38.6,90,2,9,7,critico,
I,Recuperación DSM 12-23m,mensual,4,junio,2026,22.2,20.0,50.4,90,2,9,7,critico,
I,Recuperación DSM 12-23m,mensual,5,julio,2026,100.0,,,90,14,14,0,cumple,Salto por decisión directiva DESAM; global aún en consolidación
II,Detección precoz cáncer cervicouterino,semestral,5,julio,2026,,,,,,,,sindato,Incorporada desde julio 2026
IIIA,Control odontológico 0-9,anual,1,marzo,2026,100.0,,,48,,,,cumple,
IIIA,Control odontológico 0-9,anual,2,abril,2026,100.0,,,48,,,,cumple,
IIIA,Control odontológico 0-9,anual,3,mayo,2026,100.0,27.0,24.4,48,,,,cumple,
IIIA,Control odontológico 0-9,anual,4,junio,2026,100.0,30.3,28.1,48,315,250,0,cumple,
IIIA,Control odontológico 0-9,anual,5,julio,2026,100.0,33.1,31.9,48,345,291,0,cumple,
IIIB,6 años libres de caries,anual,1,marzo,2026,100.0,,,22,,,,cumple,
IIIB,6 años libres de caries,anual,2,abril,2026,100.0,,,22,,,,cumple,
IIIB,6 años libres de caries,anual,3,mayo,2026,100.0,10.0,13.7,22,,,,cumple,
IIIB,6 años libres de caries,anual,4,junio,2026,100.0,11.0,15.2,22,11,11,0,cumple,
IIIB,6 años libres de caries,anual,5,julio,2026,93.5,12.0,17.2,22,12,13,1,cumple,
IVA,Cobertura efectiva DM2,semestral,4,junio,2026,128.8,34.8,103.3,27,456,354,0,cumple,
IVA,Cobertura efectiva DM2,semestral,5,julio,2026,100.0,33.1,66.5,27,345,291,0,cumple,Avance intermedio no oficial (corte formal: diciembre)
IVB,Evaluación pies DM2,semestral,4,junio,2026,68.5,54.8,76.3,80,,,161,bajo,
IVB,Evaluación pies DM2,semestral,5,julio,2026,57.9,,,80,370,639,269,bajo,Avance intermedio no oficial (corte formal: diciembre)
V,Cobertura efectiva HTA,semestral,4,junio,2026,79.1,28.5,51.2,36,848,1072,224,bajo,
V,Cobertura efectiva HTA,semestral,5,julio,2026,96.2,34.6,67.3,36,1031,1072,41,cumple,Avance intermedio no oficial (corte formal: diciembre)
VI,LME 6º mes,mensual,1,marzo,2026,31.8,,,60,,,,critico,
VI,LME 6º mes,mensual,2,abril,2026,53.3,32.0,80.3,60,,,7,bajo,
VI,LME 6º mes,mensual,3,mayo,2026,59.5,35.7,80.4,60,10,17,7,bajo,
VI,LME 6º mes,mensual,4,junio,2026,61.1,36.7,48.8,60,11,18,7,bajo,
VI,LME 6º mes,mensual,5,julio,2026,66.7,40.0,49.9,60,14,21,7,cumple,
VII,Cobertura Asma+EPOC,semestral,4,junio,2026,35.3,7.17,63.1,20.33,123,349,226,critico,
VII,Cobertura Asma+EPOC,semestral,5,julio,2026,35.3,7.17,66.2,20.33,123,349,226,critico,Avance intermedio no oficial (corte formal: diciembre)
